IRI	Label	Definition	Subclass of	Exact synonyms	Broad synonyms	Narrow synonyms	Related synonyms	Deprecated	Replaced by	Consider	Created by	Creation date
ID	LABEL	A obo:IAO_0000115	SC % SPLIT=,	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasBroadSynonym SPLIT=,	A oboInOwl:hasNarrowSynonym SPLIT=,	A oboInOwl:hasRelatedSynonym SPLIT=,	AT owl:deprecated^^xsd:boolean	AI obo:IAO_0100001 SPLIT=,	AI oboInOwl:consider SPLIT=,	AT oboInOwl:created_by^^xsd:string	AT oboInOwl:creation_date^^xsd:dateTime
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000304	obsolete pulmonary infections							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000303		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000310	obsolete respiratory illness							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000309		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000311	obsolete respiratory infections							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000309		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000312	obsolete rice bacterial blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000024	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000313	obsolete rice bacterial leaf blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000028	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000314	obsolete rice bacterial leaf streak							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000030	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000316	obsolete rice false smut							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000449	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000320	obsolete rubber anthracnose							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000013	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000337	obsolete skin lesions							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000341	obsolete soybean root rot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000318	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000342	obsolete soybean stem rot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000349	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000343	obsolete sporadic diarrhea							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000116	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000352	obsolete storage rots							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000357	obsolete sugarbeet leaf spot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000211	alaynecuzick	2019-02-27T14:11:00Z
